Year	iso3	Total population 	Population aged 15-24 years 	Population aged 65 years or older 	Population aged 14 years or younger 	Population aged 25-64 years 	Total debt service (% of GNI)	GDP deflator (base year varies by country)	GDP (current US$)	GDP (current LCU)	GDP at market prices (constant 2010 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2011 international $)	GDP per capita (current US$)	GDP per capita (current LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2011 international $)	GNI (current LCU)	GNI per capita, Atlas method (current US$)	GNI per capita (current LCU)	GNI per capita, PPP (current international $)	DEC alternative conversion factor (LCU per US$)	PPP conversion factor, GDP (LCU per international $)	Mortality rate, infant (per 1,000 live births)	Population growth (annual %)	General government total expenditure (current LCU)
2003	CMR	17218.591	3516.5609999999997	577.872	7707.724	5416.434	3.3337199999999996	105.87435	13621738837.0	7920000000000.0	19291044670.0	4.03099	7480000000000.0	36351273785.0	43298488681.0	791.10648	459791.3208	2111.16425	2514.6359899999998	7610000000000.0	660.0	442052.915	2030.0	581.2003	217.79041	83.1	2.58357	1219119000000.0
2003	COD	52602.208	9960.187	1521.5829999999999	24579.555	16540.883	1.7016099999999998	72.39225	8937567060.0	3620000000000.0	13836446785.0	5.57782	5010000000000.0	22255968528.0	26509381956.0	169.90859	68880.50115	423.09950999999995	503.95949	3530000000000.0	160.0	67133.83006000001	410.0	405.3974	162.79977	100.9	3.14933	361756000000.0
2003	COG	3331.564000000001	666.275	121.43799999999999	1394.247	1149.604	2.51885	211.49162	3495868725.0	2030000000000.0	8347759108.0	0.81326	961000000000.0	13278507347.0	15816207802.0	1049.3176	609863.7157	3985.6678	4747.38225	1500000000000.0	710.0	449774.2728	2940.0	581.20031	153.01418999999999	70.0	2.26762	605308000000.0
2003	COL	42152.147000000004	8196.98	2103.83	12628.505	19222.832	9.425310000000001	88.30386	94684584163.0	272000000000000.0	208000000000.0	3.9182699999999997	308000000000000.0	305000000000.0	364000000000.0	2246.25769	6460999.484	7241.33195	8625.24739	263000000000000.0	2340.0	6240462.36	6990.0	2876.3394	892.2391	19.4	1.38469	75813234000000.0
2003	COM	589.5	123.475	17.302	253.359	195.364	0.9661200000000001	155.93918	317562269.4	138000000000.0	467617854.2	2.1041	88768935600.0	720945615.1	858727970.3	538.6976599999998	234818.5785	1180.7219300000004	1456.7056300000006	138000000000.0	450.0	233820.62	1180.0	435.9005	192.00554	72.2	2.41606	30347000000.0
2003	CPV	462.675	102.265	25.509	186.195	148.70600000000005	2.38243	95.53125	813963830.2	79526708100.0	1063166989.0	4.17626	83246799600.0	1570317014.0	1870425610.0	1759.25613	171884.6017	3393.9943	4042.63384	78107382100.0	1480.0	168816.9495	3330.0	97.70299999999999	50.64373	23.8	1.58575	25290000000.0
2003	CRI	4125.97	772.459	253.19799999999998	1186.64	1913.6729999999998	5.0416099999999995	43.84059	17195867540.0	6860000000000.0	27256810142.0	4.25548	15600000000000.0	36281243863.0	43215075103.0	4167.715120000002	1661515.062	8463.38046	10473.91889	6530000000000.0	4040.0	1583662.945	8090.0	398.6633	188.95056	9.5	1.53283	1754127800000.0
2003	CUB	11214.837	1510.624	1176.243	2295.847	6232.123000000001		99.02166	35901500000.0	35901500000.0	42071168462.0	3.79136	36256208104.0	114000000000.0	136000000000.0	3201.25027	3201.25027	10205.7586	12156.21565	35340900000.0	3100.0	3151.26292	10050.0	1.0	0.31367	5.6	0.27052	
2003	CYP	998.15	171.102	104.119	209.15099999999998	513.778		92.82974	14576896942.0	12871400000.0	20812323859.0	2.47587	13865600000.0	17455340261.0	22921226792.0	20293.407890000002	17919.079169999994	23829.73189	31910.0702	12527878596.0	17130.0	17440.84158	22850.0	0.883	0.73739	4.4	1.8470400000000002	5188000000.0
2003	CZE	10211.846	1428.406	1415.27	1560.604	5807.566		89.24815	99300329682.0	2800000000000.0	164000000000.0	3.60184	3140000000000.0	197000000000.0	235000000000.0	9741.05838	274785.5159	19609.26942	23075.81729	2710000000000.0	8060.0	265660.1463	18960.0	28.209	14.19258	4.8	-0.02862	1358878000000.0
