Province	Year	Exp Smoothing 0.5 alpha	Exp Smoothing 0.65 alpha	Exp Smoothing 0.8 alpha	Exp Smoothing 0.95 alpha
Com. Foral de Navarra	2004	493.0	493.0	493.0	493.0
Com. Foral de Navarra	2005	490.5	489.75	489.0	488.25
Com. Foral de Navarra	2006	502.25	505.5125	509.0	512.7125
Com. Foral de Navarra	2007	506.625	509.07937499999997	510.6	511.085625
Com. Foral de Navarra	2008	490.3125	486.27778125	481.32	475.85428125
Com. Foral de Navarra	2009	453.15625	440.5972234375	429.06399999999996	418.9927140625
Com. Foral de Navarra	2010	424.078125	410.959028203125	401.8128	396.199635703125
Com. Foral de Navarra	2011	382.5390625	365.48565987109373	353.16256	343.75998178515624
Com. Foral de Navarra	2012	341.76953125	323.5699809548828	311.432512	303.1379990892578
Com. Foral de Navarra	2013	319.384765625	306.299493334209	299.8865024	297.3068999544629
Com. Foral de Navarra	2014	299.6923828125	289.20482266697314	283.97730048	280.8653449977231
Com. Foral de Navarra	2015	256.34619140625	239.6716879334406	227.195460096	216.39326724988615
Com. Foral de Navarra	2016	217.673095703125	200.23509077670423	188.6390920192	180.8696633624943
Com. Valenciana	2003	42691.0	42691.0	42691.0	42691.0
Com. Valenciana	2004	42691.0	42691.0	42691.0	42691.0
Com. Valenciana	2005	42601.0	42574.0	42547.0	42520.0
Com. Valenciana	2006	42925.0	43012.75	43108.6	43212.55
Com. Valenciana	2007	42907.5	42932.9625	42933.72	42906.1275
Com. Valenciana	2008	42289.75	42113.336875	41924.344	41733.706375
Com. Valenciana	2009	40672.875	40126.06790625	39629.6688	39189.88531875
Com. Valenciana	2010	38715.9375	37937.4737671875	37333.13376	36880.5442659375
Com. Valenciana	2011	36200.96875	35174.015818515625	34415.426752	33845.72721329687
Com. Valenciana	2012	33164.984375	31894.75553648047	30986.2853504	30314.83636066484
Com. Valenciana	2013	34429.9921875	34364.914437768166	34753.25707008	35425.99181803324
Com. Valenciana	2014	32133.49609375	31421.770053218857	30820.251414016	30116.449590901662
Com. Valenciana	2015	28808.248046875	27561.5695186266	26550.4502828032	25714.672479545083
Com. Valenciana	2016	26729.1240234375	25669.04933151931	25030.09005656064	24703.233623977256
Com. de Madrid	2003	9361.0	9361.0	9361.0	9361.0
Com. de Madrid	2004	9361.0	9361.0	9361.0	9361.0
Com. de Madrid	2005	9991.0	10180.0	10369.0	10558.0
Com. de Madrid	2006	10299.5	10458.2	10560.2	10605.5
Com. de Madrid	2007	10226.25	10259.82	10234.44	10175.625
Com. de Madrid	2008	9767.125	9641.137	9493.288	9351.38125
Com. de Madrid	2009	9036.5625	8773.29795	8543.4576	8358.2690625
Com. de Madrid	2010	8247.28125	7918.3542825	7675.09152	7503.0134531250005
Com. de Madrid	2011	7420.140625	7056.873998875	6809.418304	6638.50067265625
Com. de Madrid	2012	6651.5703125	6293.85589960625	6068.2836608	5920.775033632813
Com. de Madrid	2013	6408.78515625	6210.749564862188	6146.45673216	6153.738751681641
Com. de Madrid	2014	5855.892578125	5620.712347701766	5471.691346432	5345.536937584082
Com. de Madrid	2015	5341.9462890625	5105.449321695618	4956.7382692864	4853.876846879204
Com. de Madrid	2016	4876.47314453125	4654.0572625934665	4520.14765385728	4433.14384234396
Cueta	2003	47.0	47.0	47.0	47.0
Cueta	2004	47.0	47.0	47.0	47.0
Cueta	2005	46.0	45.7	45.4	45.1
Cueta	2006	40.5	38.745000000000005	37.08	35.505
Cueta	2007	36.75	35.01075	33.816	33.12525
Cueta	2008	31.375	29.1537625	27.563200000000002	26.3562625
Cueta	2009	26.6875	24.503816875	23.11264	22.217813125
Cueta	2010	20.84375	18.326335906249998	16.622528	15.36089065625
Cueta	2011	18.421875	16.814217567187498	16.1245056	15.9680445328125
Cueta	2012	15.7109375	14.334976148515624	13.62490112	13.148402226640625
Cueta	2013	18.35546875	18.66724165198047	19.524980224	20.607420111332033
