Year	Province	Previous time	Previous two times	Previous three times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2013	Centro	58361.220213868364	56126.16418887909	57023.4129317309	55948.98266648465	57023.412931730876	61320.20708868129	62575.91842081637	60900.043684427175	60781.03731935057
2013	Isole	16504.08922929253	16081.5831308677	16735.8994781062	15570.777286658562	16735.899478106192	16546.84316613263	16173.522227737014	18656.099937845676	13728.78678747888
2013	Nord-est	140922.08200016164	136869.03189185317	136578.52127075766	140199.5494801623	136578.52127075766	136049.95429083463	135175.9343414342	133604.8650139606	134222.75444595222
2013	Nord-ovest	177656.78971082103	171910.29868715786	172923.71559873119	172987.5472723478	172923.71559873113	173093.72629180262	173337.883633696	175208.191991664	180021.6819827457
2013	Sud	40178.32748391943	39246.99910458877	40902.93311261616	36138.43636632814	40902.93311261615	40563.33438200532	41833.21650998376	43130.63294799066	40795.543479100976
2014	Centro	60904.29662782566	60840.62040523443	51833.447759182985	54319.57866439324	51833.44775918301	59840.07591915606	59502.28939833043	61905.62977129728	67907.11306313197
2014	Isole	17534.16989574467	17575.801750588755	15692.249952806324	16270.047691402433	15692.249952806324	16537.80626644731	16481.134986183362	18804.069736958496	14859.782414489113
2014	Nord-est	145834.13668726743	145444.7180575763	128639.37855104364	144836.63893728942	128639.37855104369	134950.7037293845	134567.5513394296	133648.6804689154	152303.68470035735
2014	Nord-ovest	184709.83701049234	184383.97338886006	160795.3346106543	182390.4034989135	160795.33461065433	171278.17166023084	173758.47060133988	177689.96340033808	210250.55018645828
2014	Sud	43763.9201458152	44072.03143517993	39595.181676111424	38441.24252781503	39595.18167611143	41877.62172683287	43303.76737937368	43330.230518384036	41233.07986760623
2015	Centro	66139.67643357637	66568.39460935356	64521.10409085262	59561.967872136964	64521.1040908526	68390.0003458149	68660.74622063279	62615.66207841723	56539.85740012118
2015	Isole	19324.89362977817	19502.69481538109	19061.643424565755	15757.681629725772	19061.643424565747	19130.123311248044	18567.157543047862	21256.275586372707	12463.42691745836
2015	Nord-est	151248.79612611292	150909.36890901314	146702.53989355144	149652.3909568901	146702.53989355138	146069.75013426636	145904.76928328478	141152.5489127688	117834.97329662612
2015	Nord-ovest	194724.6253008278	194900.22191232737	189480.861937668	187425.59880645087	189480.86193766794	189812.55142555	190380.82011683233	186925.14136027286	175963.3622834144
2015	Sud	50633.542618562926	51537.69933724112	50635.67942223263	42472.222266713965	50635.6794222326	50847.81577880175	52201.29724307568	49460.38205553748	21637.7668074938
2016	Centro	66248.48777158187	65644.38079883183	66346.4366488458	58194.202127784825	66346.43664884577	67625.08770651271	66498.58218741487	64307.86534368046	51620.97305449101
2016	Isole	19570.496364133458	19434.99853782545	19777.48856558083	15821.242752752996	19777.488565580818	19283.869398743085	17934.13664909514	19109.189608818215	8281.76445199043
2016	Nord-est	146335.70514054995	143964.0926102757	142074.0880783818	144761.9309881229	142074.08807838178	138466.2904699696	136809.22526964644	133062.1991427965	109623.66212058745
2016	Nord-ovest	189477.84621204797	186631.4077688806	186101.86236056642	182244.30023298154	186101.8623605664	181043.247626981	180215.09404899777	181965.89663026936	164049.90471040108
2016	Sud	54087.52537639489	54271.59662208669	56095.646882115616	45289.68023253685	56095.64688211558	54080.18347492598	53925.41781233082	53034.27125954332	20582.817358666754
